expiry_iso,repo,path,filename,type,notes
,wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/actions-runner/_work/wishlist-wizard/wishlist-wizard/firebase-service-account-staging.json,firebase-service-account-staging.json,firebase-service-account,client_email=firebase-adminsdk-staging@wishlist-wizard-staging.iam.gserviceaccount.com
,wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/_work/wishlist-wizard/wishlist-wizard/com.wishlist-wizard.runner-token-refresh.plist,com.wishlist-wizard.runner-token-refresh.plist,plist,launch-agent or other plist
,wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/_work/wishlist-wizard/wishlist-wizard/firebase-service-account-dev.json,firebase-service-account-dev.json,firebase-service-account,client_email=firebase-adminsdk-dev@wishlist-wizard-dev.iam.gserviceaccount.com
,wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/_work/wishlist-wizard/wishlist-wizard/firebase-service-account-prod.json,firebase-service-account-prod.json,firebase-service-account,client_email=firebase-adminsdk-prod@wishlist-wizard-prod.iam.gserviceaccount.com
,wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/_work/wishlist-wizard/wishlist-wizard/firebase-service-account-staging.json,firebase-service-account-staging.json,firebase-service-account,client_email=firebase-adminsdk-staging@wishlist-wizard-staging.iam.gserviceaccount.com
,wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/wishlist-wizard/wishlist-wizard/firebase-service-account-dev.json,firebase-service-account-dev.json,firebase-service-account,client_email=firebase-adminsdk-dev@wishlist-wizard-dev.iam.gserviceaccount.com
,wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/wishlist-wizard/wishlist-wizard/firebase-service-account-prod.json,firebase-service-account-prod.json,firebase-service-account,client_email=firebase-adminsdk-prod@wishlist-wizard-prod.iam.gserviceaccount.com
,wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/wishlist-wizard/wishlist-wizard/firebase-service-account-staging.json,firebase-service-account-staging.json,firebase-service-account,client_email=firebase-adminsdk-staging@wishlist-wizard-staging.iam.gserviceaccount.com
,nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/certs/development/QQLUVB9987.p12,QQLUVB9987.p12,p12,password-protected-or-unreadable
,nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/certs/development/QQLUVB9987.cer,QQLUVB9987.cer,pem,not-x509-pem-or-unreadable
,nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/certs/distribution/8C78FMFNC5.p12,8C78FMFNC5.p12,p12,password-protected-or-unreadable
,nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/certs/distribution/8C78FMFNC5.cer,8C78FMFNC5.cer,pem,not-x509-pem-or-unreadable
,nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/profiles/appstore/AppStore_com.nelsongrey.vehiclevitals.app.ios.mobileprovision,AppStore_com.nelsongrey.vehiclevitals.app.ios.mobileprovision,mobileprovision,security-cms-failed
,nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/profiles/appstore/AppStore_com.nelsongrey.modulosquares.app.ios.mobileprovision,AppStore_com.nelsongrey.modulosquares.app.ios.mobileprovision,mobileprovision,security-cms-failed
,nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/profiles/development/Development_com.nelsongrey.modulosquares.app.ios.mobileprovision,Development_com.nelsongrey.modulosquares.app.ios.mobileprovision,mobileprovision,security-cms-failed
,nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/profiles/development/Development_com.nelsongrey.vehiclevitals.app.ios.mobileprovision,Development_com.nelsongrey.vehiclevitals.app.ios.mobileprovision,mobileprovision,security-cms-failed
,wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/com.wishlist-wizard.runner-token-refresh.plist,com.wishlist-wizard.runner-token-refresh.plist,plist,launch-agent or other plist
,wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/firebase-service-account-dev.json,firebase-service-account-dev.json,firebase-service-account,client_email=firebase-adminsdk-dev@wishlist-wizard-dev.iam.gserviceaccount.com
,wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/firebase-service-account-prod.json,firebase-service-account-prod.json,firebase-service-account,client_email=firebase-adminsdk-prod@wishlist-wizard-prod.iam.gserviceaccount.com
,wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/firebase-service-account-staging.json,firebase-service-account-staging.json,firebase-service-account,client_email=firebase-adminsdk-staging@wishlist-wizard-staging.iam.gserviceaccount.com
,wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/certs/key.pem,key.pem,pem,not-x509-pem-or-unreadable
