repo,path,filename,expiry,days_until_expiry,priority,recommended_action
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/actions-runner/_work/wishlist-wizard/wishlist-wizard/com.wishlist-wizard.runner-token-refresh.plist,com.wishlist-wizard.runner-token-refresh.plist,,,High,migrate token refresh into runner-manager service
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/actions-runner/_work/wishlist-wizard/wishlist-wizard/firebase-service-account-dev.json,firebase-service-account-dev.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/actions-runner/_work/wishlist-wizard/wishlist-wizard/firebase-service-account-prod.json,firebase-service-account-prod.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/actions-runner/_work/wishlist-wizard/wishlist-wizard/firebase-service-account-staging.json,firebase-service-account-staging.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/_work/wishlist-wizard/wishlist-wizard/com.wishlist-wizard.runner-token-refresh.plist,com.wishlist-wizard.runner-token-refresh.plist,,,High,migrate token refresh into runner-manager service
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/_work/wishlist-wizard/wishlist-wizard/firebase-service-account-dev.json,firebase-service-account-dev.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/_work/wishlist-wizard/wishlist-wizard/firebase-service-account-prod.json,firebase-service-account-prod.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/_work/wishlist-wizard/wishlist-wizard/firebase-service-account-staging.json,firebase-service-account-staging.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/wishlist-wizard/wishlist-wizard/firebase-service-account-dev.json,firebase-service-account-dev.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/wishlist-wizard/wishlist-wizard/firebase-service-account-prod.json,firebase-service-account-prod.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard-actions-runner,/Users/marknelson/Circus/Repositories/wishlist-wizard-actions-runner/wishlist-wizard/wishlist-wizard/firebase-service-account-staging.json,firebase-service-account-staging.json,,,High,rotate key if stale; store in secret manager
nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/certs/development/QQLUVB9987.p12,QQLUVB9987.p12,,,High,"inspect, extract expiry (need password), store encrypted"
nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/certs/development/QQLUVB9987.cer,QQLUVB9987.cer,,,High,inspect and centralize
nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/certs/distribution/8C78FMFNC5.p12,8C78FMFNC5.p12,,,High,"inspect, extract expiry (need password), store encrypted"
nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/certs/distribution/8C78FMFNC5.cer,8C78FMFNC5.cer,,,High,inspect and centralize
nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/profiles/appstore/AppStore_com.nelsongrey.vehiclevitals.app.ios.mobileprovision,AppStore_com.nelsongrey.vehiclevitals.app.ios.mobileprovision,,,High,"verify provisioning profile, associate with cert"
nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/profiles/appstore/AppStore_com.nelsongrey.modulosquares.app.ios.mobileprovision,AppStore_com.nelsongrey.modulosquares.app.ios.mobileprovision,,,High,"verify provisioning profile, associate with cert"
nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/profiles/development/Development_com.nelsongrey.modulosquares.app.ios.mobileprovision,Development_com.nelsongrey.modulosquares.app.ios.mobileprovision,,,High,"verify provisioning profile, associate with cert"
nelson-grey,/Users/marknelson/Circus/Repositories/nelson-grey/profiles/development/Development_com.nelsongrey.vehiclevitals.app.ios.mobileprovision,Development_com.nelsongrey.vehiclevitals.app.ios.mobileprovision,,,High,"verify provisioning profile, associate with cert"
wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/com.wishlist-wizard.runner-token-refresh.plist,com.wishlist-wizard.runner-token-refresh.plist,,,High,migrate token refresh into runner-manager service
wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/firebase-service-account-dev.json,firebase-service-account-dev.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/firebase-service-account-prod.json,firebase-service-account-prod.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/firebase-service-account-staging.json,firebase-service-account-staging.json,,,High,rotate key if stale; store in secret manager
wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/certs/key.pem,key.pem,,,High,inspect and centralize
